Ticker Symbol,Industry Sector
ABNB,Consumer Discretionary
AMZN,Consumer Discretionary
APTV,Consumer Discretionary
AZO,Consumer Discretionary
BBWI,Consumer Discretionary
BBY,Consumer Discretionary
BKNG,Consumer Discretionary
BWA,Consumer Discretionary
CCL,Consumer Discretionary
CMG,Consumer Discretionary
CZR,Consumer Discretionary
DECK,Consumer Discretionary
DHI,Consumer Discretionary
DPZ,Consumer Discretionary
DRI,Consumer Discretionary
EBAY,Consumer Discretionary
ETSY,Consumer Discretionary
EXPE,Consumer Discretionary
F,Consumer Discretionary
GM,Consumer Discretionary
GPC,Consumer Discretionary
DRMN,Consumer Discretionary
HAS,Consumer Discretionary
HD,Consumer Discretionary
HLT,Consumer Discretionary
KMX,Consumer Discretionary
LEN,Consumer Discretionary
LKQ,Consumer Discretionary
LOW,Consumer Discretionary
LULU,Consumer Discretionary
LVS,Consumer Discretionary
MAR,Consumer Discretionary
MCD,Consumer Discretionary
MGM,Consumer Discretionary
MHK,Consumer Discretionary
NCLH,Consumer Discretionary
NKE,Consumer Discretionary
NVR,Consumer Discretionary
ORLY,Consumer Discretionary
PHM,Consumer Discretionary
POOL,Consumer Discretionary
RCL,Consumer Discretionary
RL,Consumer Discretionary
ROST,Consumer Discretionary
SBUX,Consumer Discretionary
TJX,Consumer Discretionary
TPR,Consumer Discretionary
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
ULTA,Consumer Discretionary
WYNN,Consumer Discretionary
YUM,Consumer Discretionary
ADM,Customer Staples
BF-B,Customer Staples
BG,Customer Staples
CAG,Customer Staples
CHD,Customer Staples
CL,Customer Staples
CLX,Customer Staples
COST,Customer Staples
CPB,Customer Staples
DG,Customer Staples
DLTR,Customer Staples
EL,Customer Staples
GIS,Customer Staples
HRL,Customer Staples
HSY,Customer Staples
K,Customer Staples
KDP,Customer Staples
KHC,Customer Staples
KMB,Customer Staples
KO,Customer Staples
KR,Customer Staples
KVUE,Customer Staples
LW,Customer Staples
MDLZ,Customer Staples
MKC,Customer Staples
MNST,Customer Staples
MO,Customer Staples
PEP,Customer Staples
PG,Customer Staples
PM,Customer Staples
SJM,Customer Staples
STZ,Customer Staples
SYY,Customer Staples
TAP,Customer Staples
TGT,Customer Staples
TSN,Customer Staples
WBA,Customer Staples
WMT,Customer Staples
APA,Energy
BKR,Energy
COP,Energy
CTRA,Energy
CVX,Energy
DVN,Energy
EOG,Energy
EQT,Energy
FANG,Energy
HAL,Energy
HES,Energy
KMI,Energy
MPC,Energy
MRO,Energy
OKE,Energy
OXY,Energy
PSX,Energy
SLB,Energy
TRGP,Energy
VLO,Energy
WMB,Energy
XOM,Energy
ACGL,Financials
AFL,Financials
AlG,Financials
AIZ,Financials
AJG,Financials
ALL,Financials
AMP,Financials
AON,Financials
AXP,Financials
BAC,Financials
BEN,Financials
BK,Financials
BLK,Financials
BRK-B,Financials
BRO,Financials
BX,Financials
C,Financials
CB,Financials
CBOE,Financials
CFG,Financials
CINF,Financials
CMA,Financials
CME,Financials
COF,Financials
CPAY,Financials
DFS,Financials
EG,Financials
FDS,Financials
FI,Financials
FIS,Financials
FITB,Financials
GL,Financials
GPN,Financials
GS,Financials
HBAN,Financials
HIG,Financials
ICE,Financials
IVZ,Financials
JKHY,Financials
JPM,Financials
KEY,Financials
L,Financials
MA,Financials
MCO,Financials
MET,Financials
MKTX,Financials
MMC,Financials
MS,Financials
MSCI,Financials
MTB,Financials
NDAQ,Financials
NTRS,Financials
PFG,Financials
PGR,Financials
PNC,Financials
PRU,Financials
PYPL,Financials
RF,Financials
RJF,Financials
SCHW,Financials
SPGI,Financials
STT,Financials
SYF,Financials
TFC,Financials
TROW,Financials
TRV,Financials
USB,Financials
V,Financials
WFC,Financials
WRB,Financials
WTW,Financials
A,Health Care
ABBV,Health Care
ABT,Health Care
ALGN,Health Care
AMGN,Health Care
BAX,Health Care
BDX,Health Care
BIIB,Health Care
BIO,Health Care
BMY,Health Care
BSX,Health Care
CAH,Health Care
Cl,Health Care
CNC,Health Care
COO,Health Care
COR,Health Care
CRL,Health Care
CTLT,Health Care
CVS,Health Care
DGX,Health Care
DHR,Health Care
DVA,Health Care
DXCM,Health Care
ELV,Health Care
EW,Health Care
GEHC,Health Care
GILD,Health Care
HCA,Health Care
HOLX,Health Care
HSIC,Health Care
HUM,Health Care
IDXX,Health Care
ILMN,Health Care
INCY,Health Care
IQV,Health Care
ISRG,Health Care
JNJ,Health Care
LH,Health Care
LLY,Health Care
MCK,Health Care
MDT,Health Care
MOH,Health Care
MRK,Health Care
MRNA,Health Care
MTD,Health Care
PFE,Health Care
PODD,Health Care
REGN,Health Care
RMD,Health Care
RVTY,Health Care
SOLV,Health Care
STE,Health Care
SYK,Health Care
TECH,Health Care
TFX,Health Care
TMO,Health Care
UHS,Health Care
UNH,Health Care
VRTX,Health Care
VTRS,Health Care
WAT,Health Care
WST,Health Care
ZBH,Health Care
ZTS,Health Care
AAL,Industrials
ADP,Industrials
ALLE,Industrials
AME,Industrials
AOS,Industrials
AXON,Industrials
BA,Industrials
BLDR,Industrials
BR,Industrials
CARR,Industrials
CAT,Industrials
CHRW,Industrials
CMI,Industrials
CPRT,Industrials
CSX,Industrials
CTAS,Industrials
DAL,Industrials
DAY,Industrials
DE,Industrials
DOV,Industrials
EFX,Industrials
EMR,Industrials
ETN,Industrials
EXPD,Industrials
FAST,Industrials
FDX,Industrials
FTV,Industrials
GD,Industrials
GE,Industrials
GEV,Industrials
GNRC,Industrials
GWW,Industrials
HII,Industrials
HON,Industrials
HUBB,Industrials
HWM,Industrials
IEX,Industrials
IR,Industrials
ITW,Industrials
J,Industrials
JBHT,Industrials
JCI,Industrials
LDOS,Industrials
LHX,Industrials
LMT,Industrials
LUV,Industrials
MAS,Industrials
MMM,Industrials
NDSN,Industrials
NOC,Industrials
NSC,Industrials
ODFL,Industrials
OTIS,Industrials
PAYC,Industrials
PAYX,Industrials
PCAR,Industrials
PH,Industrials
PNR,Industrials
PWR,Industrials
RHI,Industrials
ROK,Industrials
ROL,Industrials
RSG,Industrials
RTX,Industrials
SNA,Industrials
SWK,Industrials
TDG,Industrials
TT,Industrials
TXT,Industrials
UAL,Industrials
